35320,ST UNIAC,35360,"",ST UNIAC,"48.1669783756,-2.03378556474",353.2
35060,LA CHAPELLE DU LOU DU LAC,35360,LA CHAPELLE DU LOU,LA CHAPELLE DU LOU DU LAC,"48.2222623755,-1.99322262284",350.6
35060,LA CHAPELLE DU LOU DU LAC,35360,LE LOU DU LAC,LA CHAPELLE DU LOU DU LAC,"48.2222623755,-1.99322262284",350.6
35143,LANDUJAN,35360,"",LANDUJAN,"48.2476416223,-2.00848370543",351.43
35027,BOISGERVILLY,35360,"",BOISGERVILLY,"48.1663042024,-2.08373655963",350.27
35184,MONTAUBAN DE BRETAGNE,35360,"",MONTAUBAN DE BRETAGNE,"48.2028996948,-2.06476180878",351.84
35171,MEDREAC,35360,"",MEDREAC,"48.2612561283,-2.06133339808",351.71
35184,MONTAUBAN DE BRETAGNE,35360,ST M HERVON,MONTAUBAN DE BRETAGNE,"48.2028996948,-2.06476180878",351.84
35006,ARGENTRE DU PLESSIS,35370,"",ARGENTRE DU PLESSIS,"48.0483656903,-1.13833015473",350.06
35038,BREAL SOUS VITRE,35370,"",BREAL SOUS VITRE,"48.0921515475,-1.06109442521",350.38
35042,BRIELLES,35370,"",BRIELLES,"48.0111591648,-1.09792357132",350.42
35183,MONDEVERT,35370,"",MONDEVERT,"48.0841466424,-1.09097545112",351.83
35338,TORCE,35370,"",TORCE,"48.06102043,-1.27189716204",353.38
35119,GENNES SUR SEICHE,35370,"",GENNES SUR SEICHE,"47.9983537714,-1.13315830309",351.19
35109,ETRELLES,35370,"",ETRELLES,"48.0697223278,-1.21606173712",351.09
35217,LE PERTRE,35370,"",LE PERTRE,"48.0341523357,-1.05602216053",352.17
35272,ST GERMAIN DU PINEL,35370,"",ST GERMAIN DU PINEL,"48.0050253994,-1.17262707343",352.72
35169,MAXENT,35380,"",MAXENT,"47.9788328525,-2.01519596065",351.69
35211,PAIMPONT,35380,"",PAIMPONT,"48.030192406,-2.17342058709",352.11
35223,PLELAN LE GRAND,35380,"",PLELAN LE GRAND,"47.9968736139,-2.07990195207",352.23
35305,ST PERAN,35380,"",ST PERAN,"48.0566572293,-2.06502362263",353.05
35340,TREFFENDEL,35380,"",TREFFENDEL,"48.0313953352,-2.00818373637",353.4
35249,STE ANNE SUR VILAINE,35390,"",STE ANNE SUR VILAINE,"47.7338101776,-1.8052140064",352.49
